Banjara,English 
Laagi,Injured
Laaj,Shy
Laakad,Log
Laalmothi,Jewel
Laambo,Lengthy
Laamdi,Flower
Laara,Back
Laarjo,Go back
Laath,Leg/Kick
Laavi,Bird
Labaari,Lie
Lachak,Hang
Ladai,Fight
Ladge,Migrated/left
Ladkaa,Son
Ladki,Daughter
Lagaa,Beat
Lagaad,Apply
Lagalla,Saliva
Lak,Write
Lak,Write
Lakdi,Stick
Lakdir bhaaro,Bundle of sticks
Lakevaalo,Writer/educated
Lakpathi,Millionaire
Lalchai,Showing hope
Lalli,Beads
Lang,Pass/cross
Langaawan,Curry
Langota,Tighten the inner garment
Lapallu/Lagaalu,Apply
Lapas,Slipped
Latha,Clothes
Lathkoda,Clothes
Latka,Hang
Leember Jhaad,Neem tree
Leember bijja,Lemon seed
Leembu,Lemon
Leeya,Bring
Lela,Take
Looldo,Wiped
Lota,Glass/tumbler
Loti,Small tumbler
Loyo,Iron
Luu,Wipe
Luudo,Fire stick
Luula,Wipe it
Luunaak,Clean it
Luung,Clove
Luuri,Cleaning/wiping
Lyaara,Thick
Maachar,Mosquito
Maakki,House fly
Maala,Garland
Maalam,Know
Maalam karla,Know it / Find out
Maali,Fish
Maalo,Nest
Maama,Uncle (maternal)
Maami,Aunt (maternal)
Maan/Paan,Endearment/Affection
Maand,Porridge/Starch
Maang,Ask
Maanglaa,Borrow
Maanguni,Will not ask
Maar,Mine/My
Maar koni,Not mine
Maardino,Beaten
Maarkoni,Not mine
Maarnaak,Kill
Maarnaako,Killed
Maarsaam,My side
Maarthaani,Until me
Maarvaalo,My people
Maas,Flesh
Maasi,Aunt (mother's sister)
Maatho,Head
Maati,Man
Majaarcha,It's good
Malak,Village
Malgi,Found
Malla,Forest/Jungle
Mallai,Ear dirt
Mallavo,Group
Man,Heart
Mandolya,Magic thread (wand)
Mangaala,Bring
Mangaalo,Honey comb
Mangar,Crocodile
Mani,Inside
Mankya,Man
Mantar,Magic
Marad,Male person
Margo,Died
Maskri,Parody/playing
Mathkela,Don't think otherwise
Meech,Close
Meeto,Sweet
Meeto thal,Cooking oil
Mel,Put
Mel,Send / Put
Mitka,Frog (masculine)
Mitki,Frog (feminine)
Mod,Root
Moka,Chance
Mol,Rate/Cost
Moleraj,Bought
Mones,Put
Mor,Peacock
Morni,Peahen
Mot,Big/Elder
Motadi,Mother's elder sister
Moto,Elder
Motobaa,Father's elder brother
Motpan,Elderliness
Motyar,Teenage
Mujvaari,Devotee
Mukki,Fist
Munji,Reserved / Not talkative
Munnaang,Front
Musdi,Gums
Muuche,Mustache
Muulo,Plait
Muundi,Head
Muung,Green pulses
Muungo,Expensive
Muurath,Idol
Muuth,Urine
Mwaath,Death
Mwaath,Death
Naach,Dance
Naagar,Plough stick
Naagrersaal,Plough line
Naak,Nose
Naaksaap,Cobra
Naali,Separated
Naali bhaji,Green vegetable
Naalo,Umbilical cord
Naam,Name
Naampaad,Naming
Naana,Maternal Grandfather
Naani,Maternal grandmother
Naanki,Younger (female)
Naankya,Younger (male)
Naano,Smaller/Softer
Naanomoto,Big and small
Naap/maap,Measure
Naar,A tender sprout
Naara,Fiber
Naaral,Coconut
Naarengi/Narangi,Guava tree
Naargaad,Plant sprouts
Naatak,Drama/act smart
Naathipoth,Grandchildren
Naatho,Related/relationship
Naavan,Barber woman
Naavi,Barber
Naavir Jaath,Barber
Naayak,Leader
Naayakan,Woman leader
Naayamethi,Truthfully
Naayeki,Leadership
Nacho,Rinse
Nagad,Money/Cash
Nahaalaju,Undisturbed
Najar,Eye sight
Nakaam,Workless/Useless
Nakaam vathe,Useless words
Nakalaju,Ununderstood
Nakaraju,Not working
Nakricha,Sowing
Nal,Tap
Nalerpet,Empty stomach
Nalli,Neck
Namankar,Wish
Nanad,Sister-in-law
Nandi,River
Nangaara,Request until money is given
Nangari,House/Palace
Nanjar,Evil sight
Nar,Man/Human
Naram/Narmo,Soft
Nas,Vein
Nasaab,Judgement
Nasallo,Stubborn
Naseeb,Fortune
Nassan,Garlic
Nathapaju,Without fail
Natho,Otherwise/If not
Nav,Bend
Nav,Nine
Nav/Navvo,New
Nava/Navaada,Bend
Navandek,Bend and see
Navgo,Bent
Navleri/Nalveri,Bride
Navvad,Ninety
Neelirang,Blue colour
Neelo/Neel,Wet
Neendh,Sleep
Neep,Smoothening and decorating the floor
Nees,Smelly
Neeyath,Truthful
Nikaan,If not / or else
Nikal,Go/start
Nok,Nail
Noukari,Job
Nuun/luun,Salt
Nuuni,Butter
Odpu,Patience
Odya,Stone workers
Odyaar kwar,Stone worker
Odyar kwari,Stone worker's wife
Okoli,Dump yard
Oma,In it
Omathi,From it
Oni,Half saree
Oor,His
Oot,Vote
Ornai,Like her
Otha,There
Ovdi Evdi,Here and there
Paacha,Back
Paad,Lift
Paadaa,Family name
Paadgi/Paadga,Calf
Paadh,Gas (Bile)
Paadmath,Don't lift
Paaggo,Riped
Paako,Riped
Paalaki,Squat
Paalaki,Palanquin
Paali,Small knife
Paali,Approximately one KG
Paalijako yaadi,Caretaker mother
Paalo,Grow
Paalu,Side
Paaman,Relatives
Paan,Leaf
Paanch,Five (Group)
Paanchir,Five members
Paandga,Festival
Paangarri,Blooming
Paangdi,Turban
Paani,Water
Paani Paaro,Water flow
Paanth,Line
Paap paadre,Blamed
Paapi,Sinner
Paara,Shovel
Paasna,Barber knife
Paat,Baby goat
Paathal,Thin
Paato,Bandage
Paatya,Curry pot
Pachaadiyaa,Last
Pachaadiyaar,Last/End
Pachaar,Wish
Pachaas,Fifty
Pachavaatham,Paralysis
Pachees,Twenty five
Pachesi,Later
Pad/Padaai,Study
Padaavo padgi,Dilapidated/decayed
Padan,Wet
Padava,Boat
Padda,Curtain
Paddaada,Great grandfather
Padeda,Let it fall
Padgo,We fell down
Padjaaya,Might fall down
Paglaapad,Touch the feet
Pahaad,Mountain
Pakaarla,Complain/tell
Pakad,Take hold
Pakalideeno,Caught
Pakka,Definitely/Surely
Pakko,Many/Much
Palepar,Bank
Pall,Fruit
Paltimaar,Turning upside down
Pamra,Sharpen
Pamraa,Sharpen
Panch,Distribute
Panchya,Indian waist garment
Pandra,Fifteen
Pankoda,Feather
Panswaadir hadka,Ribs
Panvaali,Dates tree branch
Para,There
Paraa,Feed
Paraal,Grass
Parak,Observe
Paralervaami,Haystack
Parbaathi,Morning
Parbhaathi,Early morning
Pardeshi/Paradeshi,Foreigner
Paresi,That side
Pargaal,Last year
Pargalreecha,Soluble
Parjo,Go that side
Parkar,Put aside/push
Parlevadi,Other side
Parmedadd,A day after tomorrow
Parpoot,Without your
Parshana,Sweat
Pasand,Like
Patak,Throw/push
Patam,Portrait
Pater Jhagla,Silk shirt
Patha,Playing cards
Pathi/Rejar pathi,Blade/razor
Patlya/Patel,Landlord
Patteda,Belt
Peda keedo,Creator
Pedavego,Conceive
Pedu,Abdomen
Pee,Drink
Peede,Birth pangs
Peedga,Small wooden stool
Peeka,Baby girl
Peeldi,Drank
Peelo,Yellow
Peelya,Jaundice
Peempa,Box
Peempler jhaad,Peepal tree
Peenchi,Scrub
Peendi,Ribs/buttocks
Peengaa,Dead body
Peeri,Drinking
Peero,Drinking
Pees,Grind
Peesa,Money
Peesa,Money
Peethal,Brass
Peevunchu,Will drink
Peevunchu,Will drink
Pet,Stomach
Petchaalero,Diarrhea
Petpadgo,Abortion
Petpaggo,Conceived
Phal,Fruit
Phal,Python
Phalchu,Tamarind soup
Phali,Grains with peel
Phandri,Upper shelter
Phansi,Hanging/suicide
Phar,Turn
Phetya,Skirt
Phool,Flowers
Photva,Photograph
Phungli,Tender leaves
Phunkaar,Blow
Phyaalri,Creeping
Phyank,Throw
Pidi,Hereditary family tree
Pika,Boy
Piki,Baby girl
Pilla/Pilli,Baby goat
Piloneer bandi,Bushes broom
Piloneer vel,Bushes creeper
Pilyaa,Jaundice
Pindya,Bud
Pindyaa bud,Tender buds
Pisthol,Gun
Pithlo,Brass
Pitho,Liver
Pitho,Liver
Pitta,Bird
Pitta,Bird
Podgi,Small
Poondh,Buttocks
Pot,Bag
Pothidiya,Purse
Potho,Grandson
Pudina,Mint leaves
Pulla,Stick
Punchaad,Pass
Punchdi,Tail
Punchgo,Reached
Punnam,Full moon
Puro / puuro,Completely
Puropaad,Complete
Purpunchya,Caterpillar
Putikya,Remove mud
Putkya,Birth
Putuva,Photo
Puuja,Prayer
Puunch,Ask
Puunch,Ask
Puunchdi,Tail
Puunchgo,Reached
Puunchuchu,Will ask
Puurdaad,Full of nine months/delivery dates
Puuro,Complete
Puuro,Complete
Puuto,Back
Pyaana,Old/past time
Pyaana samiyaa,Olden days
Pyaar,Swim
Pyaar,Wear
Pyaar,Wear
Pyaarla,Wear/put/decorate
Pyaasgi,Stuck
Pyanoo,Measure
Pyaterbeta,Elder
Ra,Stay here
Ra,Stay here
Raabdi,Porridge
Raabdi,Porridge
Raad,Quarrel
Raad,Quarrel
Raada,Sorghum stick
Raada,Sorghum stick
Raadh,Puss
Raaj,King
Raaja,Owl
Raaja,Owl
Raaji,Like
Raak,Ash
Raam,Sky / Ram (God)
Raandh,Cook
Raas,Many
Raath,Night
Raath,Night
Raathad,Red
Raathad,Red
Raathal Keedi,Red ant
Rakaad,Put
Ram,Play
Rammero,Playing
Ramthi,Playful
Randi,Castor oil
Randya,Widower
Rang,Colour
Rangeranger,Colourful
Rani,Queen
Rapatgi,Slipped
Rapiya,Money
Rapiya,Money
Ras,Soup/Gravy
Ras,Soup/Gravy
Red,Throw
Red,Throw
Reench,Bear
Reench,Bear
Reent,Snot
Reent,Snot
Rees,Angry
Rees,Angry
Rejaayeni,Unwilling to stay
Rejaayeni,Unwilling to stay
Rejo,Stay
Rejo,Stay
Rel,Flow/Stream
Rel,Flow/Stream
Reni,Stay
Reni,Stay
Ringneer jhaad,Pulse tree
Ringneer jhaad,Pulse tree
Ringni,Goat/sheep poop
Ringni,Goat/Sheep poop
Risaalo,Short tempered
Risaalo,Short tempered
Ro,Cry
Ro,Cry
Rog,Disease
Rogaali,Sick person
Roj,Moos
Roj,Moos
Romath,Don't cry
Romath,Don't cry
Rovaadmath,Don't make him/her cry
Rovaadmath,Don't make him/her cry
Rudimaar,Go quickly
Rudimaar,Run
Rudimaar,Go quickly
Ruju,Confirmation
Rummal,Turban
Rummal,Turban
Runam,Indebted
Runglya/khaalya,Stream
Ruu,Cotton
Ruu,Cotton
Ruunchu,Will stay
Ruunchu,Will stay
Ruupo,Silver
Ruupo,Silver
Ruvaad,Goosebumps
Saado,Saree
Saadri,Mat
Saagunaarjhaad,Teakwood
Saakki,Story
Saal,Year
Saal,Paddy
Saali,Sister-in-law
Saaliraath,Whole night
Saalo,Brother-in-law
Saalya,Fox
Saamal,Listen
Saamleni,Will not listen
Saampad,Packing
Saandh,Neck
Saandhya,Ox
Saandiya,Ox
Saangalricha,Springs
Saanj,Evening
Saankli,Chain
Saansmath,Don't forget
Saanta,Sugarcane
Saantaarisel,Thin
Saap,Snake
Saarijanam,All people
Saasi,Truth
Saasij,Truthfully / really
Saasu,Aunt
Saath,Along / together
Saath,Together
Saatheni,Friend
Saathpaad,Seven hills
Saavukar,Rich person
Saavvarvego,Morning
Sadar,Main/local market
Sagaai,Marriage engagement
Sagreecha,Continuing / expanding
Saivejo,Mercy
Sakaar,Sugar
Samajgi,Understood
Samdan,Mother of a daughter-in-law
Samdi,Father of a daughter-in-law
Sameli,Eagle
Samisaanj,Evening
Samman,Bad omen
Samnak,Front
Sampdagi,Work done
Samya,Year/Days
San,People
Sanaar,Goldsmith
Sandar,Ocean
Sangalrocha,Water spring
Sapaari,Nuts
Sapke,Quickly
Saraap,Curse
Sarak,Move
Sarakrocha,Moving/Crawling
Sarkaar,Government
Sarkaar jhaad,Thorn tree
Sasro,Uncle
Sasya,Rabbit
Satar,Friday
Sath,Glory
Sathar,Seventy
Savaad,Taste
Savaal,Challenge
Savaar,Tomorrow
Savaser,1 kg 250 grams
Savvaari,Ride
Secha,All are there
Sedagricha,Very cold
Seed,Stitch
Seejgi,Cooked
Seejricha,Getting cooked
Seek,Learn
Seekda,Good words as advice
Seeko,
Seelkhal,Cold
Seendi,Toddy
Seeng,Horn
Seenkad,Cleaning the nose
Seenkli,Stick
Seenti,Whistle
Seese,Bottle
Segasan,Parents-in-law of daughter/son
Selli/Seldi,Deer
Sena,All
Ser,All
Ser,1 kg
Servaasu,For all
Sethi,With all
Sevreecha,Brooding
Sikaar,Hunt
Sikai,Taught
Sikgi,Learned
Sivaanta,First time
So,Sleep
So,Hundred
Sok,Beauty imitation
Soklivaath,Any word / everything
Solaggo,Fire is on
Solga,Put on the fire
Taal,Empty
Taala,Pour
Taalakhaaro,Escape
Taali vaathe,Fake words
Taam,Vessels/Utensils
Taando,Hamlet
Taandri,Wife
Taang,Legs
Taatiya,Wasp
Taatiyaar maalo,Wasp nest
Tak ekjaag,Stay at one place
Takanra,Stability
Takkar,Dangerous accident
Takkul,Acting
Talga,Separated
Tangaalo,Tall
Tapaaro,Clothes box
Teek,Good! (in a satiric sense)
Teeko,Red dot on the forehead
Tek,Hold tightly
Tekaano,Living place
Teken Chaal,Compatibility
Tesan,Waiting place
Teterotet,Same from the beginning
Tetethi,From the beginning
Thaadkaarpaan,Toddy leaves
Thaaja,Fat
Thaakath,Strength
Thaakdi,Weighting pans
Thaal,Chaff
Thaali,Plate
Thaam,Stop/block
Thaambo,Copper
Thaan,One
Thaando,Hamlet/Thanda
Thaangdi,Gifts at wedding (a bag)
Thaanth,Wire
Thaap,Warming
Thaar,Yours
Thaar par,On you
Thaarik,Date
Thaathi,With you
Thaatho,Hot
Thaatho doodh,Hot milk
Thaavar,Saturday
Thaavo,Fever
Thader sindi,Toddy
Thadkaa,Roof leaves of a hut
Thadther,Fresh
Thakleef,Difficulty
Thal,Fry
Thalaav,River
Thalaavdi,Well
Thalap,Door
Thalli,Sesame
Thalvaa,Foot
Thalvaar,Sword
Tham,You
Tham,Pillar
Tham,Wait
Thamaad,Stop
Thamaaduchu,Will make him/her wait
Thamaaku,Tobacco
Thamaar,Yours
Thamaathi,You (plural)
Thamacha,Will wait
Thamber lota,Copper glass
Thamrokoni,Is not waiting
Thandri / tandri,Woman/wife
Thanjro,Ill health
Thapaalo,Forehead
Thapaanaak,Escaping
Thapas,Prayer
Thapka,Lid
Thappen,Unavoidable
Tharangath,Classroom
Tharas,Thirsty
Thare,Sympathy
Thari,Milk cream
Tharika,Way/style
Tharkaari,Vegetables
Tharro,Floating
That,Separate
Thavaadal / Thabaadal,Transfer
Thavvaa,Pan
Thed,Crack
Theej,Seedlings festival
Theen,Three
Theenlaak,Three lakh
Theense,Three hundred
Thees,Thirty
Thel,Oil
Thepad,Lullaby
Thera,Thirteen
Thethaal,Talkative
Thikaali,Foolish
Thikko,Sharp
Thithar,Quail bird
Thithli,Butterfly
Thod,Pluck
Thodjod,Adjust/Manage
Thodko,Sunny/hot sun
Thol,Weigh
Tholchir Jhaad,Tulasi plant
Tholchir paan,Tulasi leaf
Tholchuur,First
Tholja Bhavani,Goddess Tulja Bhavani
Thori,Ridge gourd
Thorya,Cactus
Thota Thoriyo,Peruvian cactus
Thotha,Parrot
Thudi / Toodgi,Broken
Thuka / Thuga,You
Thukaari,Loud call
Thumdi,Bottle gourd
Thumdir Vel,Bottle gourd creeper
Thuni,Log
Thurir ghugri,Toor/Chickpeas
Thurir phalchu,Chickpeas soup
Thuu,You
Thuun,Sew
Thuunk,Spit
Thuuri,Toor daal
Thuurir daal,Toor daal
Thuvaala,Towel
Tiki,Hair ornament
Tikri,Mud tiles used for roof
Tipni,Food box
Tod/Thod,Pluck
Tok,Beat
Tokar,Injury
Tokda,Cloth
Tokni,Small vessel
Tokno,Big pot-like vessel
Toodgi,Broken
Topar,Dry coconut
Topi,Cap
Topli,Head ornaments of a banjara woman
Tota,Small round shaped sweet
Toti,Water drum
Tranch,Troubling
Tukri,Mask/Head cover
Tuunti Taang,Crippled leg
Tuunti/Tuunto,Lame/Crippled
Tyargi,Waited
Ujjck,Another one
Ujji,Yet/still
Ukadgi,Dropped
Ukali/Ukli,Pounding stone
Ukalrocha,Boiling
Ukla,Boil it
Ula,Bring that
Umach,Sweating
Umar bharo,Life long
Ummar/Umar,Age
Umpra,Upper
Uncha,Up
Unchal,West
Und,Deep
Unda/Undanak,Pour/Pour it
Undaalo,Summer
Undad,That day
Undar,Male rat
Undo,Upside down
Undoor,Their
Undri,Female rat
Unduma,Among them
Unglo,Heavy wind
Ungro,Sleepy
Uo,That
Upangi,Overflowed
Upanro,Overflowing
Upnadini,Overflowed one
Ushkya,Sand
Uskyaar Beed,Sand desert
Ut,Get up
Uthri,Getting downstairs
Utparbhathi,Early morning
Uttar,Get down
Vaa,Comb
Vaadi,Garden
Vaadi,Garden
Vaag,Tiger
Vaagal,Tigress
Vaal,Wind
Vaalmuundo,Paralysed/bent mouth
Vaalsaal,Zig Zag
Vaalsaal,Crooked
Vaam,Variety of a fish
Vaandar,Monkey
Vaandri,Monkey
Vaanjuvaa,Barren
Vaank,Remark/deficiency
Vaansa,Bamboos
Vaansi,Wood
Vaansli,Flute
Vaary,Good/fine
Vaat,Way
Vaath,Word
Vaavdi/Dhaab,Well
Vacha,Middle
Vachaano,Bed
Vachkal,Jump
Vad,Fly
Vadaad,That day
Vadaar,On loan
Vadath,Black gram
Vaderjhaad,Peepal tree
Vadgo,Field
Vadod,Untie/unfold
Vadoi,Light flies
Vadricha,Growing
Vagaad,Open
Vagaad,Open
Vagalri,Chewing
Vaglaadi,Pamperingly
Vajaa,Make the sound
Vajaalo,Light
Vajrecha,Trumpets
Vakalla,Dig and pull
Vakath,Time
Vakath,Time
Vakkal,Boil
Vakod,Pluck/pull
Vakolli,Garbage
Valaa,Wedding/marriage
Valaad,Clan
Valaad,Hereditary hairs
Valak,Remember
Valakpachaani,Introducing
Valkas koni,May not remember
Valkeni,Unrecognized
Valkesinika,Will you not recognize me?
Vallada,Extinguish
Vangaar,Initial cooking
Vangaar,Cook
Var aajo,Come here / this way
Varaa,Come this way
Varaad,Cover
Varaala,Comb
Varaan,Others
Varadeni,Give
Varalparal,Neighbours
Varas,Year
Varer,This side
Varlaa,Bring this side
Varsaalo,Rainy season
Varsene,Jealous
Varsevaal koni,Doesn't like out of jealousy
Vas,Show
Vasio,Dust
Vasod,Collect
Vathaar,Put down
Vathada,Show
Vathraal,Churry (Hurry)
Vegi/Yegi,Completed / become / gone
Vel,Creeper
Vendena,For hunt
Venthi,Request/pain
Veraalu,Hunter
Veri,Stream
Vethbhar,Short
Vethbhari,Short
Vethe,Were there
Vyaangan,Brinjal
Vyant,Distribute
Vyaraagi,Drowned
Vyathdu,Bridegroom
Vyathuder,Bridegroom
Vyaya,Marriage
Yaadi,Mother
Yaandi,Mad (feminine)
Yaando,Mad (masculine)
Yaangan,Brinjal
Yech,Sell
Yech/Vech,Sell
Yeela,Difficulty/problem
Yekek thai,Sometimes
Yekimayek,One inside the other
Yekin Yek,One to one
Yekina,One person
Yekkar,Acre
Yekvadu,One side
Yelaathi,With difficulty
Yema,Inside this
Yena,Him
Yeni,Not possible
Yeri,Water pit/pond
Yetha,Here
anikimnar,blink eyes
i,This
aghat vego,Blow / Shock
a:jaora kiya,Today
ajeti tav cheni,From today
a:to la re,Floor
aa kato ona,Tell him to come
aa mat tu,Don’t come
ata a:,Come
aahwan kar,An invitation
aaji kai ka,What else?
alasi vomatta,Lazy
aanadimatva,Fool
aanad vego,Adamant
aang aa,Forward
aanki maaro,Winked eye
aara aat,Comes
aara lena datla gass,Sharpener
aar-paar venu,Clear
aarti vatar,Waving lamp before idol
aashade ma balamat,Fourth month of Hindu calendar
aasmanera u: par,"Sky, Heaven"
abhav cha,Deficiency
abhiman cha,Pride
abishek kar,Dropping of water over an idol
abhishap deeno,Curse
abhivekti kara,Expression
abilash kai cha,Desire
abindan,Congratulations
abipraya ka manaa,Opinion
acchoban,Good
achanak diso,Suddenly
ambara achar,Pickle
u: achari hava,Teacher
achar vichar reda,Religious observance
adachanvegi,"Hindrance, trouble"
adai rapya,Two and a half
adaraniya cha,"Respectable, honourable"
adharsha renu,Ideal
tona adat padagich,Habit
adhar rakad,"Basic support, foundation"
adhikar cheni,"Authority, power"
adhuro vego,"Half, finished, incomplete, handicap"
adli-badli vege,Exchange
admirena bach,Man
u: adnadi hava,Stupid
aado kar,Half
aado: vego,In between
ado aa mat,Do not
ados—pados aacha cheni,Neighbor
adrakgnalan cha kar,Ginger
adavatena,Short-cut
agal bagal admismbala,Side by side in the neighborhood
agan gadimabegluru jarocho,Train
agar tu ai,In case of
devara mundaga bathi lagad,Incense stick
ageeb sapno ayo,"Strange, wonder"
agniparikshe karmat,Severe test
aham chodo,Ego
ahankar kar mat,Pride
u: bhavi abhankarim,Self-conceited
aj aitwar cha,Sunday
ketema agagar vitto,Python
kai ajagarici tu,Greedy
Ajaniokno,Carraway
ajarat ghar azo,Tonight
akaal padoto,Famine
akal cheni,Wisdom
akar badal,"Form, shape"
akashavani sambal,"Radio, bodyless voice"
akasmat avato,All of a sudden
akbakvego,Irrelevant talk
akoldima gobarcha,Dungheap
marghar alag cha,Separate
do iro alag-alag duniycha,Separately
u: alpaadami hav,"Little, Small"
pina amal vego,Intoxication
sonera amant vatte ghal,Things kept in pledge/security
amrut pee,Nectar
u: amat hava,Untouchable
amaseradad kai na karnu,New moon/day
amba kho,Mango
ambakharochu,Mango
ambalira achar,Tamarind
amlirapani,Tamarind
janna ambarai vetti,Mango grove
ambadira khodi,Jute leaf
amblira beeja boonj,Tamarind seed
amblira zad pacha,Tamarind tree
ambra pi,Sambar
doi amane-samane vege,Face to face
amalavetti,"Priceless, invaluable"
vagar diku ro,Orphan
anadi vego,Unintelligent
tar ankul,Favourable
ananas kavo,Pineapple
ananda vego,Joy
ana tas’ Nera,Orphanage
anch ai,"Heat, flame"
anchalemati dood kad,Milking system in animal
,
andaro verocha,Darkness
andaro kai diseni,Adlind Well
andhi andool uto,Hurricane
u: and cha,Blind (Female)
u: andonana,Blind (Male)
anek admi vette,"Several, many"
maro ang,Body part
kai anghad chara u:,"Ill-shaped, Shapeless"
ghare ro angala,Yard
angalima viti,Finger
angar balach,Fire
anardabaa la,Matchbox
angema dev aav,God coming into his body
angodi marocha,Yawning
angoli kido,Bath
angolo utrocha,Tempest
ang pach dek,Back and front
hater anguta,Thumb
at aniye,Calling female
ankima anjani vri,Sour eye
u: ankaricha veri,Bad conduct
pujan ankera phool mail,Kind of a flower
ankerazad todla,A plant which gives white milk
anikiti da anki,Eye
anki michnan rammero,Hide and seek game
anki marmaat,Eye wink
gharema ann cheni,"Food, grain"
ann aji kai,Then
tu: anpad,Illiterate
ansu kad mat,Tears
attaparbeto,Attic
antar reda,Distance
antarojari dho,Inerstine
anubhava cheni,Experience
anukamp dakal mat,Compassion
tu NG ACSA hs 6 oar,Uncomparable
tonaanurodh karo,Request
keni anyay kar mat,Injustice
anyaya vego,Injustice
apaharan kide,"Stealing, kidnap"
keni apakar kar mat,Harm
u: apang vegocha,Physical handicapped
aparad maat karo,Offence
ma per apavad ayo,Exception/Abuse
kun karan malam cheni,Lack of acquaintance
saman,An ill-omen
apat an pado,Danger
chipan apavitra vego,Unholy
apleksnavetti,Strong desire
apman vego,Insult
apano ghar,Pertaining to self
apradi maatva,"Criminal, one who commits crime"
aprup vegochi,Not seen frequently
ghan sundari cha,Celestial body/Angel
argi lakan ghal,Petition
aram lar,"Rest, Joy"
aramkar,"Rest, joy"
aram kurchi par béte,Easy chair
mararmanveto,"Desire, ambition"
tonakai aristalagro,Misfortune
arop kar,To accuse
to aropi hava,Accused
arsi dek,Mirror
tona aruchenika,Sense
asa mat kar,Desire
vo asha khori,Greedy
asakatavego,Weak
asal denak,Capital
asalisono,"True, Truth"
asalyat malamkar,Reality
accho asami hav,Person
asanera kam,Easy
yadibapena asaro vanu,"Support, shelter"
u: asavaltandri hava,Pregnant
asaya matva,Helpless
ascharya vego,Surprise
ashanti phelada,Without peace
adashub avago,Inauspicious
ashuddaipani mat pivu,Impure
ashasveti pet barayeni,"Assurance, promise"
asish mang,Blessing
asiya vego,Unbearable
angoli kar,Bath
aaspass koi cheni,Near
admivette,Eighty
astar zal mat,Piece of cloth
atma tik reda,Soul
atma samarpan ki do,Surrender
chora atmahatya kar lido,Suicide
atmaviswaren,Self-confidence
attaj vetto,Here
atta aani kai ka kuchu,Come here
attri bhesi vetti,Very much
u: attyacharihava,Atrocity
avatar hav,An incarnation
tomena avago,Reached
ona avakash da matta,Opportunity
avaman vegi,"Insult, disregard"
avaravego,Vagabond
tar avas katta,"House, dwelling"
avasar kar,Fast
avasya duchu,"Surely, without doubt"
avoo ni,Welcome
awaj kar,Sound
ayerona jayero karmat,Come and go
ayo tham,I will come
kai ayogya chibada,Useless
ayushya vego,Age
at a azo,Come
azo ra zaldi,"Come, you fellow"
ambaralbaag,Garden
kachro baal,To burn
baalaa,Child
jarera bati,Bread
tiketi bach,Live
apan chal chalan bachad,"Protect, Save"
ang bad,"To grow, To move, To increase"
angbad,To develop
badal jo,To change
bad na band,Rope
badnam,Infamous
badtivi,Increase
bagal aa,Side
mot bai,Elder sister
bak bak mat kar,Prattling
baki mat kar,Debt
bhakochora,A person who talks freely
chelirao bakra,He-goat
bakra,Ram
bakri katecha,Sheep
taramaiyenabala,Call
dhoolo balad,Bull
ballamat ban,Bad
baman potikada,Brahmin
achno ban,Become
banosarmmatwa,Without chelma
u: kainkabanaro cha,"To prepare, to make"
band kide,Stopped
kalo banda,"Stone, slab, marble"
u: mar bandi hava,Female servant
bandobaskar,"Arrangement, short form, Security"
banduk mat chala,Gun
kukado bang dero,"Cock’s sound, Cock’s crow"
moto bangla wadro,Flemingo
maro bap,Father
bapanipar latta,Eyebrow
baparola,Steam
gyara bara,Twelve
se baraabar,Equal
u: barbad vego,Destruction
jappa barka mat,Shout
basodaliya,Stale
ruera batti,Wick
bazaar jo,Market
beer,Woman
doodemabhel,"Gather, To attach"
Chakkar aan behos vego,Unconscious
behatar cha,Better
bekar mat ban,Useless
u: bekooph vego,Idiot
u: berihava,Deaf
u: berohava,Deaf
sadripar bes,To sit
sasiyar beska,Hiding place
marobeta,Son
beti,Daughter
Bhang pi marbeti,Intoxicating drug
baanti kaadoghaal,Woman who delivered
jorti bhadak,To run
bhado,Rent
botira bhag,Part
bhagat khelro,"Worshiper, Priest"
kasanji bhagwan,God
u: mar bhai,"Brother, Younger brother"
bhaji kho,Vegetable
bhakichori,A person who talks frankly
savarbhal,"To join, To meet"
bhallo kido,Make good to other
bhallalen surena mar,Spear
u: marbhanjo hava,Sister’s son (Nephew)
maki bhan-bhan kari cha,Buzz of honesty
bhaand mat,Scold
pani bhar,To fill
nandi bhar pur viyaricha,Completely
bhari pad mat,"Weight, Heavy"
vatla bharo,"Filled, Full"
bharoso rak,Trust
bharti phaani aayo,Full
bharti kar,"More, Full"
gap bhasal mat,Useless talk
salerabhaska,Husk
u:mar bhatiji,"Niece, one’s brother’s daughter"
bhatadacha,Allowance
darurabhatti,Furnace
moto bhediya,Wolf
bhejomat kho,Brain
maarben,Sister
u:marbhen hava,"Sister, Elder sister"
mar bhenoi,Elder sister’s husband
devena bhnet chada,"Ritual, something offered to God/Deity"
bhesbadallidino,Disguise
bhesanachod,He buffalo
bhesibhand,Female buffalo
bhijod,To wet
bhikmong,Beggary
bhikaarni mat ban,Female beggar
bhikari mat ban,Beggar
binda kao panima,Lady’s finger
gharera bhint,Wall
u: maar bheya,Elder brother
bhog lagad,Offering to god
mar bhojai,Elder brother’s wife
u: marbhijen,Brother’s wife
bholo chora,Innocent
etarbhilopan hava,Innocence
vadrich,Insect
bhoot deeto,Devil
bhuk lagri cha,Hungry
telemabhunj,"To fry, To burn"
